               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.012501,            0.012262,                   0,             0.98975,             0.97059,             0.98721,             0.90431,            0.011059,           0.0071356,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.012061,            0.011365,                   0,             0.98462,             0.97182,             0.98698,             0.89921,            0.011257,           0.0074134,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.011699,            0.011472,                   0,             0.98812,             0.96869,             0.98672,             0.90636,            0.011014,           0.0072346,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.01179,            0.011499,                   0,             0.98719,             0.97154,             0.98757,             0.90911,            0.011093,           0.0072535,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.01163,            0.011292,                   0,             0.98399,             0.96774,             0.98705,             0.90904,            0.010975,           0.0072698,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01165,            0.011432,                   0,             0.98879,             0.96584,             0.98682,             0.90808,            0.010815,           0.0071835,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.011435,            0.011044,                   0,             0.98639,             0.96774,             0.98761,              0.9109,            0.010676,           0.0071408,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.011434,            0.010935,                   0,             0.99098,              0.9649,             0.98718,             0.91221,            0.010635,           0.0071621,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.011255,             0.01122,                   0,             0.98649,             0.96989,             0.98706,             0.91304,            0.010475,           0.0070361,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.011006,            0.010728,                   0,             0.98935,             0.96985,             0.98729,             0.91324,            0.010594,           0.0070886,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.010697,            0.010722,                   0,              0.9891,             0.96869,              0.9873,             0.91218,            0.010589,           0.0070916,                   0,            0.000496,            0.000496,            0.000496
